Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,
67,Fr,5-10,Aaliyah Chavez,Oklahoma,SEC,79.8,5.3,8,105.9,79.4,25.7,44.9,50.4,2.4,8.5,21.4,17.6,0.9,2.1,22.5,129-292,0.442,12.4,83-272,0.305
68,Sr,5-11,Haleigh Timmer,Oklahoma St.,B12,76.3,5.3,8.7,130.7,87.2,14.8,61.7,65.1,4.3,8.5,10.1,13.9,1.5,2.2,26.1,59-97,0.608,9.1,68-164,0.415
69,So,6-4,Me'Arah O'Neal,Florida,SEC,62.9,5.3,13.1,124.9,78.5,21.6,59.5,64.3,9.1,17.8,9,13.7,5.6,3,55.4,111-183,0.607,6.4,37-97,0.381
70,Sr,6-6,Madina Okot,South Carolina,SEC,57.3,5.3,15,117.5,59.8,25.2,60.2,62,19.4,28.6,7.2,20.2,6.1,3.1,22.6,196-331,0.592,1.7,13-27,0.481
71,Sr,6-1,Rachel Ullstrom,Richmond,A10,80.8,5.3,7.8,122.4,86.3,18.2,60.8,62.6,5.4,14.1,7.5,11.7,1.8,2.1,14.9,78-130,0.6,12.3,92-225,0.409
72,Jr,5-8,Savannah Catalon,Seton Hall,BE,81.3,5.3,8.8,115.7,82.6,19.6,48,56.9,6.4,9.3,14,15.2,0.2,4.9,45.4,69-149,0.463,8.7,52-157,0.331
73,Jr,5-8,Jada Williams,Iowa St.,B12,74.6,5.3,5.3,104.9,88.5,30.8,47.2,51.8,1.5,11.1,47.1,20.7,0.1,1.8,26.8,130-270,0.481,8.7,46-152,0.303
74,Sr,6-4,Raegan Beers,Oklahoma,SEC,61.7,5.2,13.6,118.3,71.5,24.8,62.4,63.2,13.4,25.6,16.8,18.3,3.9,1.7,43.3,213-321,0.664,2.1,6-35,0.171
75,Fr,5-6,Aubrey Galvan,Vanderbilt,SEC,85.9,5.2,8.5,109,80.1,21.4,49.5,52.1,2.3,8.9,27,20.6,0.3,4.2,15.8,114-230,0.496,8.6,60-182,0.33
76,Sr,5-9,Hunter Hernandez,UC Irvine,BW,85,5.2,5.2,108.1,90.8,29.7,45,53.1,4.1,14.9,16.8,12.8,0.8,2.2,42.1,147-363,0.405,8.3,58-157,0.369
77,Jr,6-0,Talaysia Cooper,Tennessee,SEC,63.4,5.2,15,104.9,74.4,30,50,51.5,4.2,15.4,30.3,18.9,1.1,5.4,11.4,123-251,0.49,12.5,61-178,0.343
78,So,6-0,Jordan Lee,Texas,SEC,79.8,5.2,11.4,114.9,71.4,18.5,50.2,52.5,2.8,6.4,11.7,12.7,1.8,2.6,16,120-245,0.49,9.4,71-206,0.345
79,Sr,6-6,Ra Shaya Kyle,Miami FL,ACC,70.6,5.2,7.9,108.6,81.2,27.9,55.8,60.8,10.7,28.3,13.8,21.5,2.5,0.8,57.3,191-340,0.562,0.1,0-2,0
80,Sr,5-10,Taleyah Jones,Arkansas,SEC,79.8,5.1,6.7,107.9,92,22.7,52.5,58.1,5,7.2,13,19.4,1.5,1.9,33,112-229,0.489,8.1,60-156,0.385
81,Sr,5-10,Flau'jae Johnson,LSU,SEC,63,5.1,12.4,120.6,73.8,22.8,52.3,54.9,5.9,10.6,14.9,15,3,2.6,24.7,142-287,0.495,7.1,48-122,0.393
82,Fr,6-3,Cearah Parchment,Illinois,B10,71.9,5.1,11.2,117.7,77.7,22.1,56,61.1,11,23.7,9.3,16.9,1.6,3.3,38.6,129-238,0.542,5,35-86,0.407
83,Sr,6-3,Christeen Iwuala,Mississippi,SEC,66.2,5.1,10.2,118.2,75.5,20.7,60.1,63.3,13.3,20.8,8.6,19.7,2.3,2.6,41.6,175-291,0.601,0,0-0,0
84,Jr,6-1,Jenna Villa,Oregon St.,WCC,83.6,5.1,5.3,113.7,91,22.7,50.8,58.5,4.1,12.3,11.7,16.2,0.5,1.2,42.2,87-193,0.451,9.7,68-179,0.38
85,Sr,6-2,Hannah Stuelke,Iowa,B10,70.9,5.1,9.9,110.1,74.7,22.8,53.9,55.6,11.2,21.9,17.5,15.9,1.4,2.3,49.5,168-308,0.545,0.5,2-9,0.222
86,So,5-10,Delaney Gibb,BYU,B12,64.8,5.1,8.4,97,81.5,31.6,46.3,51.8,4.5,11.3,31.6,24.6,1.6,3.6,34.1,108-247,0.437,11.9,70-213,0.329
87,Sr,6-3,Marta Suárez,TCU,B12,78.1,5.1,8.1,105,73.7,28,53,56.1,7.9,16.6,14.1,20.7,0.7,2.5,15.3,161-314,0.513,11,84-227,0.37
88,Jr,6-2,Nunu Agara,Stanford,ACC,64.8,5.1,8.2,111.4,81.1,24.3,47.8,53.4,10.4,19.4,9.5,12.7,1.9,2.1,34.4,157-306,0.513,3.4,10-54,0.185
89,Jr,5-10,Taryn Barbot,Charleston,CAA,91.7,5.1,6.8,106.9,90.1,27.7,43.9,50.3,3.3,12.2,19.3,15.8,1,3.6,30.4,121-323,0.375,11,77-216,0.356
90,Sr,5-10,Charlisse Leger-Walker,UCLA,B10,70,5.1,13.4,119.1,71.6,18.1,56.2,57.2,3.6,11.9,29.1,24.2,1.2,3.3,15.5,71-121,0.587,7.6,47-131,0.359
